# z	 a	 Omega_ede	 w_ede
7.054802e+02	 1.415468e-03	 6.000001e-02	 5.734662e-02
8.111308e+02	 1.231329e-03	 6.000000e-02	 6.426920e-02
9.326033e+02	 1.071119e-03	 6.000000e-02	 7.181117e-02
1.072267e+03	 9.317344e-04	 6.000000e-02	 7.997638e-02
1.232847e+03	 8.104734e-04	 6.000000e-02	 8.875612e-02
1.417474e+03	 7.049829e-04	 6.000000e-02	 9.812748e-02
1.629751e+03	 6.132145e-04	 6.000000e-02	 1.080522e-01
1.873817e+03	 5.333853e-04	 6.000000e-02	 1.184760e-01
2.154435e+03	 4.639435e-04	 6.000000e-02	 1.293289e-01
2.477076e+03	 4.035388e-04	 6.000000e-02	 1.405265e-01
2.848036e+03	 3.509959e-04	 6.000000e-02	 1.519720e-01
3.274549e+03	 3.052923e-04	 6.000000e-02	 1.635595e-01
3.764936e+03	 2.655382e-04	 6.000000e-02	 1.751777e-01
4.328761e+03	 2.309596e-04	 6.000000e-02	 1.867139e-01
4.977024e+03	 2.008829e-04	 6.000000e-02	 1.980588e-01
5.722368e+03	 1.747223e-04	 6.000000e-02	 2.091102e-01
6.579332e+03	 1.519680e-04	 6.000000e-02	 2.197767e-01
7.564633e+03	 1.321766e-04	 6.000000e-02	 2.299801e-01
8.697490e+03	 1.149625e-04	 6.000000e-02	 2.396577e-01
1.000000e+04	 9.999000e-05	 6.000000e-02	 2.487625e-01
