# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.14895 h/Mpc,
# number of wavenumbers equal to 455
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833537524526e+01 
       2.326965112415e-05       1.050300524713e+02 
       3.616368416872e-05       1.608004190354e+02 
       4.913719191725e-05       2.162184422683e+02 
       6.222526306445e-05       2.716135683927e+02 
       7.546386573355e-05       3.272350781124e+02 
       8.889016871877e-05       3.832976870372e+02 
       1.025428768881e-04       4.400002620061e+02 
       1.164625850318e-04       4.975354594567e+02 
       1.306921544768e-04       5.560955874617e+02 
       1.452771167917e-04       6.158767102471e+02 
       1.602661088538e-04       6.770818630351e+02 
       1.757113433749e-04       7.399238137534e+02 
       1.916691186261e-04       8.046276059908e+02 
       2.082003704664e-04       8.714330000044e+02 
       2.253712687320e-04       9.405968953434e+02 
       2.432538584340e-04       1.012395755995e+03 
       2.619267438085e-04       1.087128083996e+03 
       2.814758098240e-04       1.165116899166e+03 
       3.019949709311e-04       1.246712204043e+03 
       3.235869302956e-04       1.332293294566e+03 
       3.463639240694e-04       1.422270857865e+03 
       3.704484140748e-04       1.517088600685e+03 
       3.959736783305e-04       1.617224427892e+03 
       4.230842321522e-04       1.723190773704e+03 
       4.519359935960e-04       1.835533944880e+03 
       4.826960870561e-04       1.954831870725e+03 
       5.155421603026e-04       2.081689175191e+03 
       5.506610770747e-04       2.216729696421e+03 
       5.882468451593e-04       2.360584127737e+03 
       6.284976558419e-04       2.513877081217e+03 
       6.716119524841e-04       2.677210782274e+03 
       7.177835202354e-04       2.851150721916e+03 
       7.671956976641e-04       3.036208535595e+03 
       8.200149485639e-04       3.232810185881e+03 
       8.763841814321e-04       3.441262316617e+03 
       9.364163367091e-04       3.661681739379e+03 
       1.000188842050e-03       3.893997947080e+03 
       1.067739530131e-03       4.137961973545e+03 
       1.139064503232e-03       4.393281353791e+03 
       1.214118221415e-03       4.659713171521e+03 
       1.292815822631e-03       4.936921929112e+03 
       1.375037409658e-03       5.224363033713e+03 
       1.460633819102e-03       5.520589464143e+03 
       1.549433263643e-03       5.823625537739e+03 
       1.641248223755e-03       6.131367745121e+03 
       1.735882043984e-03       6.442225440391e+03 
       1.833134827612e-03       6.757757587968e+03 
       1.932808383248e-03       7.080710710088e+03 
       2.034710125310e-03       7.413897167737e+03 
       2.138655947702e-03       7.759779189141e+03 
       2.244472168970e-03       8.114568092361e+03 
       2.351996690194e-03       8.469333515436e+03 
       2.461079521215e-03       8.815190720653e+03 
       2.571582825405e-03       9.143623732018e+03 
       2.683380616443e-03       9.449042251862e+03 
       2.796358218551e-03       9.762994018467e+03 
       2.910411578940e-03       1.014421559904e+04 
       3.025446500155e-03       1.065101933325e+04 
       3.141377841964e-03       1.134504404533e+04 
       3.258128727682e-03       1.229799273803e+04 
       3.375629778325e-03       1.359941018329e+04 
       3.493818389235e-03       1.535448345100e+04 
       3.612638057434e-03       1.769979221641e+04 
       3.732037763424e-03       2.082789992848e+04 
       3.851971407996e-03       2.501196830180e+04 
       3.972397302585e-03       3.064223275684e+04 
       4.093277710397e-03       3.828075464991e+04 
       4.214578434808e-03       4.873825474145e+04 
       4.336268451195e-03       6.305609710075e+04 
       4.458319578280e-03       8.252367559196e+04 
       4.580706185135e-03       1.088110562860e+05 
       4.703404930208e-03       1.440401201135e+05 
       4.826394528974e-03       1.908442275128e+05 
       4.949655547086e-03       2.524097280292e+05 
       5.073170216191e-03       3.324742994331e+05 
       5.196922269879e-03       4.352766285723e+05 
       5.320896797456e-03       5.655174666675e+05 
       5.445080113527e-03       7.289921705586e+05 
       5.569459641572e-03       9.327453968853e+05 
       5.694023809915e-03       1.184969448811e+06 
       5.818761958675e-03       1.495349008868e+06 
       5.943664256446e-03       1.874947734760e+06 
       6.068721625606e-03       2.336557112668e+06 
       6.193925675282e-03       2.894877249960e+06 
       6.319268641115e-03       3.566704927933e+06 
       6.444743331067e-03       4.371154671852e+06 
       6.570343076612e-03       5.329694314749e+06 
       6.696061688712e-03       6.466847841309e+06 
       6.821893418064e-03       7.809753185360e+06 
       6.947832919166e-03       9.388710512018e+06 
       7.073875217785e-03       1.123724865437e+07 
       7.200015681476e-03       1.339242294443e+07 
       7.326249992837e-03       1.589508089043e+07 
       7.452574125202e-03       1.878984571531e+07 
       7.578984320550e-03       2.212592831097e+07 
       7.705477069379e-03       2.595705519665e+07 
       7.832049092365e-03       3.033973505153e+07 
       7.958697323625e-03       3.533695148234e+07 
       8.085418895432e-03       4.101596809348e+07 
       8.212211124224e-03       4.744910907197e+07 
       8.339071497814e-03       5.471353615037e+07 
       8.465997663657e-03       6.289226307669e+07 
       8.592987418093e-03       7.207443471802e+07 
       8.720038696471e-03       8.235507514734e+07 
       8.847149564069e-03       9.383525623068e+07 
       8.974318207751e-03       1.066221352123e+08 
       9.101542928276e-03       1.208297644577e+08 
       9.228822133218e-03       1.365781976472e+08 
       9.356154330437e-03       1.539941934742e+08 
       9.483538122048e-03       1.732114684126e+08 
       9.610972198861e-03       1.943703015681e+08 
       9.738455335230e-03       2.176182576212e+08 
       9.865986384300e-03       2.431083765443e+08 
       9.993564273599e-03       2.710040438399e+08 
       1.012118800096e-02       3.014706362893e+08 
       1.024885663075e-02       3.346858619475e+08 
       1.037656929035e-02       3.708328140004e+08 
       1.050432516691e-02       4.100984024929e+08 
       1.063212350435e-02       4.526790406305e+08 
       1.075996360053e-02       4.987809745355e+08 
       1.088784480465e-02       5.486069482226e+08 
       1.101576651488e-02       6.023795888978e+08 
       1.114372817602e-02       6.603175815039e+08 
       1.127172927752e-02       7.226506620653e+08 
       1.139976935144e-02       7.896124678141e+08 
       1.152784797069e-02       8.614444627834e+08 
       1.165596474734e-02       9.383934147488e+08 
       1.178411933107e-02       1.020711144881e+09 
       1.191231140769e-02       1.108654977350e+09 
       1.204054069778e-02       1.202490994322e+09 
       1.216880695546e-02       1.302473990134e+09 
       1.229710996722e-02       1.408891621267e+09 
       1.242544955078e-02       1.522012343809e+09 
       1.255382555417e-02       1.642121213846e+09 
       1.268223785470e-02       1.769498735197e+09 
       1.281068635814e-02       1.904437847245e+09 
       1.293917099791e-02       2.047221525709e+09 
       1.306769173434e-02       2.198151116830e+09 
       1.319624855393e-02       2.357515514615e+09 
       1.332484146880e-02       2.525623366416e+09 
       1.345347051603e-02       2.702773599407e+09 
       1.358213575713e-02       2.889270305959e+09 
       1.371083727760e-02       3.085402260379e+09 
       1.383957518639e-02       3.291487845129e+09 
       1.396834961557e-02       3.507834011102e+09 
       1.409716071990e-02       3.734752983179e+09 
       1.422600867652e-02       3.972544136866e+09 
       1.435489368463e-02       4.221508953113e+09 
       1.448381596521e-02       4.481951759001e+09 
       1.461277576080e-02       4.754193583665e+09 
       1.474177333527e-02       5.038521825812e+09 
       1.487080897367e-02       5.335247348761e+09 
       1.499988298201e-02       5.644645302340e+09 
       1.512899568719e-02       5.967047010618e+09 
       1.525814743687e-02       6.302719989830e+09 
       1.538733859939e-02       6.651978204740e+09 
       1.551656956372e-02       7.015075343755e+09 
       1.564584073940e-02       7.392333061349e+09 
       1.577515255657e-02       7.783996792661e+09 
       1.590450546593e-02       8.190382644905e+09 
       1.603389993880e-02       8.611716308932e+09 
       1.616333646718e-02       9.048282553411e+09 
       1.629281556376e-02       9.500347339143e+09 
       1.642233776207e-02       9.968138546731e+09 
       1.655190361655e-02       1.045191633967e+10 
       1.668151370268e-02       1.095198764454e+10 
       1.681116861713e-02       1.146848891508e+10 
       1.694086897792e-02       1.200175387846e+10 
       1.707061542457e-02       1.255186317841e+10 
       1.720040861833e-02       1.311912877180e+10 
       1.733024924236e-02       1.370374019009e+10 
       1.746013800200e-02       1.430592736931e+10 
       1.759007562495e-02       1.492584027898e+10 
       1.772006286159e-02       1.556308934844e+10 
       1.785010048523e-02       1.621962837765e+10 
       1.798018929242e-02       1.689327164992e+10 
       1.811033010322e-02       1.758649940965e+10 
       1.824052376159e-02       1.829708896071e+10 
